구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2021년04월10일,1973.75,1632.61,1423.57,946.24
2021년04월11일,1973.75,1632.61,1423.57,945.87
2021년04월12일,1973.75,1632.45,1423.41,945.81
2021년04월13일,1973.75,1632.61,1423.57,945.87
2021년04월14일,1973.75,1632.5,1423.57,945.11
2021년04월15일,1974.5,1632.55,1423.52,945.25
2021년04월16일,1974.5,1632.55,1423.52,945.56
2021년04월17일,1974.5,1621.6,1401.66,937.88
2021년04월18일,1974.5,1620.58,1399.07,935.08
2021년04월19일,1974.5,1619.8,1397.67,935.37
2021년04월20일,1974.5,1619.75,1397.23,934.78
2021년04월21일,1974.5,1619.54,1397.36,934.64
2021년04월22일,1974.5,1619.59,1396.99,934.22
2021년04월23일,1974.5,1619.54,1397.2,933.54
2021년04월24일,1974.5,1619.54,1396.99,933.31
2021년04월25일,1974.5,1619.54,1397.07,932.75
2021년04월26일,1974.5,1619.39,1397.05,932.68
2021년04월27일,1974.5,1619.44,1396.94,932.85
2021년04월28일,1974.5,1619.39,1397.05,933.05
2021년04월29일,1974.5,1619.44,1397.05,932.99
2021년04월30일,1974.5,1619.54,1397.25,933.05
2021년05월01일,1974.5,1619.43,1396.95,932.15
2021년05월02일,1974.5,1619.43,1396.94,932.15
2021년05월03일,1974.5,1619.31,1396.63,932.13
2021년05월04일,1974.5,1619.16,1396.82,931.84
2021년05월05일,1974.5,1619.16,1396.56,932.13
2021년05월06일,1974.5,1619.16,1396.56,932.95
2021년05월07일,1980,1619.06,1396.66,933.29
2021년05월08일,1980,1619,1396.45,933.85
2021년05월09일,1980,1619.1,1396.45,933.79
2021년05월10일,1980,1619,1396.45,933.81
2021년05월11일,1980,1619.1,1396.55,933.79
2021년05월12일,1980,1619.26,1396.62,933.79
2021년05월13일,1980,1619.34,1397.05,933.79
2021년05월14일,1980,1619.27,1396.77,933.92
2021년05월15일,1985,1598.68,1376.96,933.81
2021년05월16일,1985,1597.53,1374.7,933.97
2021년05월17일,1985,1594.75,1372.98,934.14
2021년05월18일,1985,1594.18,1371.82,933.74
2021년05월19일,1985,1593.04,1370.79,933.34
2021년05월20일,1985,1592.89,1370.95,933.23
2021년05월21일,1985,1592.68,1370.52,933.34
2021년05월22일,1985,1592.64,1370.52,933.47
2021년05월23일,1985,1592.63,1370.5,933.34
2021년05월24일,1985,1592.53,1370.59,933.28
2021년05월25일,1985,1592.86,1370.83,933.44
2021년05월26일,1985,1592.65,1370.83,933.38
2021년05월27일,1985,1592.65,1370.63,933.1
2021년05월28일,1985,1592.53,1370.54,933.28
2021년05월29일,1985,1592.53,1370.85,933.23
2021년05월30일,1985,1592.53,1370.54,933.65
2021년05월31일,1985,1592.59,1370.54,933.65
2021년06월01일,1985,1592.58,1370.63,933.71
2021년06월02일,1985,1592.47,1370.69,933.4
2021년06월03일,1985,1592.42,1370.84,932.97
2021년06월04일,1985,1592.47,1370.64,932.93
2021년06월05일,1985,1592.47,1370.69,932.93
2021년06월06일,1985,1592.52,1370.69,932.8
2021년06월07일,1985,1592.52,1370.69,932.11
2021년06월08일,1990,1592.73,1370.69,932.46
2021년06월09일,1990,1592.73,1370.92,932.37
2021년06월10일,1990,1592.52,1370.69,932.37
2021년06월11일,1995,1592.64,1370.59,931.95
2021년06월12일,1995,1592.37,1370.53,931.96
2021년06월13일,1995,1592.37,1370.56,932.96
2021년06월14일,1995,1592.37,1370.72,933.07
2021년06월15일,1995,1592.37,1370.56,933.42
2021년06월16일,2006.25,1592.37,1370.56,933.07
